PN,PID,Inspector,Profile,Fixture/Tip,Fiber Type,Cleaning,Max Kitting,,
10-3128-05,ONS-CFP2-WDM=,Fiber Check,SM_Rev.2.0,Simplex Long Reach (-L),LC,,40,,
10-3128-06,ONS-CFP2-WDM=,Fiber Check,SM_Rev.2.0,Simplex Long Reach (-L),LC,,40,,
10-3230-01,ONS-CFP2-WDM-1KL=,Fiber Check,SM_Rev.2.0,Simplex Long Reach (-L),LC,,20,,
10-3231-01,ONS-CFP2-WDM-1KE=,Fiber Check,SM_Rev.2.0,Simplex Long Reach (-L),LC,,20,,
10-3205-01,ONS-QSFP-4x10-MLR=,Fast MT,FBN-MT-IEC-T4-SM-APC,QSFP:Module,MPO-12,,80,,
10-2945-01,QSFP-40G-SR-BD=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,60,,
10-3122-01,QSFP-40G-BD-RX=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,60,,
10-3250-01,ONS-CXP2-SR25=,Fast MT,FBN-MT-IEC-T6 MM-PC,CPAK-10kModule,MPO-24,Yes,60,,
10-3128-05,ONS-CFP2-WDM=,Fiber Check,SM_Rev.2.0,Simplex Long Reach (-L),LC,,40,,
10-3145-01,QSFP-100GCWDM4-S=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,120,,
10-3146-01,QSFP-100G-LR4-S=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,>,ECL-30,120
10-3107-01,SFP-10G-LR-S=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,250,,
10-3316-01,QSFP-100G-ER4L-S=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,>,FLJ-30,120
10-3317-01,QSFP-40/100-SRBD=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,60,,
10-2626-01,GLC-SX-MMD=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2457-02,SFP-10G-LR=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2945-02,QSFP-40G-SR-BD=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,60,,
10-3107-01,SFP-10G-LR-S=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2626-01,GLC-SX-MMD=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2542-01,XFP10GLR-192SR-L,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,60,,
10-3323-01,ONS-QC-16GFC-LW,Fast MT,FBN-MT-IEC-T4-SM-APC,QSFP:Module,MPO-12,,80,,
10-2940-01,GLC-BX40-D-I,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2366-03,GLC-ZX-SM-RGD=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2942-01,GLC-BX40-U-I= ,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2418-02,DS-SFP-FC8G-SW=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3220-02,QSFP-100G-SM-SR=,Fiber Check,SM_Rev.2.0,Simplex Long Reach (-L),LC,,120,,
10-2952-01,SFP-10G-BXD-I=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2951-01,SFP-10G-BXU-I=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-1961-02,SFP-OC48-SR=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2939-01,GLC-BX80-D-I=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3068-02,QSFP-40G-ER4=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,120,,
10-3089-01,GLC-GE-DR-LX=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3227-01,SFP-25G-SR-S=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2352-03,ONS-SE-100-BX10U=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2353-03,ONS-SE-100-BX10D=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2941-01,GLC-BX80-U-I=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2352-01,ONS-SE-100-BX10U=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2353-02,ONS-SE-100-BX10D=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2653-02,GLC-2BX-D,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2274-03,GLC-SX-MM-RGD,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2837-03,QSFP-40G-CSR4,Fast MT,FBN-MT-IEC-T6 MM-PC,QSFP:Module,MPO-12,,120,,
10-2360-03,GLC-FE-100FX-RGD,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3145-02,QSFP-100G-CWDM4-S=,Fiber Check,SM_Rev.2.0,Simplex Long Reach (-L),LC,,120,,
10-3142-03,QSFP-100G-SR4-S=,Fast MT,FBN-MT-IEC-T6 MM-PC,QSFP:Module,MPO-12,,120,,
10-2845-01,SFP-10G-AOC10M=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2846-01,SFP-10G-AOC10M=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2093-03,GLC-BX-D=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3090-02,QSFP-40G-SR4-S=,Fast MT,FBN-MT-IEC-T6 MM-PC,QSFP:Module,MPO-12,,120,,
10-3105-01,SFP-10G-SR-S=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2625-01,GLC-LH-SMD=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2672-03,QSFP-40G-SR4=,Fast MT,FBN-MT-IEC-T6 MM-PC,QSFP:Module,MPO-12,,120,,
10-1968-02,SFP-OC12-LR1=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2624-01,GLC-EX-SMD=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2621-01,GLC-ZX-SMD=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2224-03,DWDM-SFP-5252=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2227-03,DWDM-SFP-5012=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2222-03,DWDM-SFP-5898=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2216-03,DWDM-SFP-5979=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3146-02,QSFP-100G-LR4-S=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,120,,
10-2481-01,ONS-SE-GE-BXU=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3142-02,QSP-100G-SR4-S=,Fast MT,FBN-MT-IEC-T6 MM-PC,QSFP:Module,MPO-12,,120,,
10-2020-02,SFP-OC3-SR=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-1966-02,SFP-OC3-IR1=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3207-01,ONS-CXP2-SR25=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2482-01,ONS-SE-GE-BXD=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2353-03,ONS-SE-100-BX10D=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3144-01,QSFP-100G-PSM4-S=,Fast MT,FBN-MT-IEC-T4-SM-APC,QSFP:Module,MPO-12,,120,,
